school,short_name,state,city,latitude,longitude,sum_temp,winter_temp,caucasian,research_rank,primary_care_rank,admittance_year,mcat_total_score,md_ph_d_year_last_3_years,distance_to_temple_mi,temple,pop,home,count,region
University of Mississippi School of Medicine,Mississippi,Mississippi,Jackson,32.3288039,-90.1732873,92,62,16.2,,,,,3,275,too far ,594000,81000,1,South East Central
University of North Dakota School of Medicine,North Dakota,North Dakota,Grand Forks,47.9320894,-97.0679215,82,15,84.2,,,,,NA,253,too far ,104000,266000,1,Midwest West North Central
East Tennessee State University James H. Quillen College of Medicine,East Tennessee,Tennessee,Johnson City,36.4744005,-81.7945803,85,26,84.8,,65,299,506,NA,251,too far ,71000,281000,1,South East Central
"Louisiana State University, Shreveport School of Medicine",LSU Shreveport,Louisiana,Shreveport,32.4806484,-93.7609388,94,58,37.2,,,,,NA,200,too far ,393000,185000,1,South West Central
West Virginia University School of Medicine,West Virginia,West Virginia,Morgantown,39.6541484,-79.9576894,84,21,85.7,82,61,434,510,NA,198,too far ,30700,285000,1,South Atlantic
University of South Alabama College of Medicine,South Alabama,Alabama,Mobile,30.701111,-88.174782,89,55,43.53,,,,,NA,196,too far ,430197,175000,1,South East Central
University of Pittsburgh School of Medicine,Pitt,Pennsylvania,Pittsburgh,40.4425645,-79.9617855,83,20,66.4,14,10,610,516,13,25,too far ,2300000,237000,1,Northeast Mid-Atlantic
University of Arkansas College of Medicine,Arkansas,Arkansas,Little Rock,34.74902,-92.32011,92,45,49.9,74,36,684,509,3,156,too far ,726000,224000,1,South West Central
Case Western Reserve University School of Medicine,Case Western,Ohio,Cleveland,41.5041139,-81.6200756,81,23,39.7,24,71,924,518,NA,150,too far ,2040000,106000,1,Midwest East North Central
Northeastern Ohio College of Medicine,Northeastern Ohio,Ohio,Rootstown,41.1032382,-81.2447316,81,21,95.5,,,,,2,145,too far ,8198,267000,1,Midwest East North Central
University of Wisconsin Medical School,U Wisconsin,Wisconsin,Madison ,43.0775083,-89.4302119,83,8,78.59,37,20,715,511,NA,143,too far ,680000,371000,1,Midwest East North Central
Marshall University School of Medicine,Marshall,West Virginia,Huntington,38.4070649,-82.4263833,88,25,85,,,320,504,2,142,too far ,360000,140000,1,South Atlantic
University of South Dakota School of Medicine,South Dakota,South Dakota,Vermillion,42.78251847,-96.92156859,88,9,86.6,,,,,NA,129,too far ,11000,224000,1,Midwest West North Central
Geisel School of Medicine at Dartmouth,Dartmouth,New Hampshire,Hanover,43.708376,-72.2876779,83,29,74.8,47,36,380,514,3,128,too far ,8500,912000,1,Northeast New England
University of Virginia School of Medicine,Virginia,Virginia,Charlottesville,38.0315304,-78.4990798,87,27,70,30,35,632,519,35,121,too far ,235000,467000,1,South Atlantic
Virginia Commonwealth University School of Medicine,VCU,Virginia,Richmond,37.5397168,-77.4303941,89,28,45.2,62,48,746,513,11,121,too far ,1300000,321000,1,South Atlantic
Medical University of South Carolina,South Carolina,South Carolina,Charleston,32.7852642,-79.9478558,88,43,74.08,56,76,666,511,8,120,too far ,799000,477000,1,South Atlantic
University of Missouri - Columbia School of Medicine,Missouri,Missouri,Columbia,38.9382707,-92.3283897,89,40,76,80,67,476,509,5,110,too far ,256000,258000,1,Midwest West North Central
Wake Forest School of Medicine,Wake Forest,North Carolina,Winston-Salem,36.1000011,-80.2400062,88,49,56.6,47,68,570,512,NA,107,too far ,679000,273000,1,South Atlantic
University of Florida College of Medicine,Florida,Florida,Gainesville ,29.6399157,-82.3434195,90,55,64.5,37,48,585,516,8,106,too far ,339000,298000,1,South Atlantic
Albany Medical College,Albany,New York,Albany,42.6526495,-73.7769918,83,31,53.8,,,,,NA,97,too far ,630000,239000,1,Northeast Mid-Atlantic
Brody School of Medicine at East Carolina University ,East Carolina,North Carolina,Greenville,35.609482,-77.4034148,90,54,53.12,,26,346,506,NA,96,too far ,92000,250000,1,South Atlantic
"Louisiana State University, New Orleans School of Medicine",LSU New Orleans,Louisiana,New Orleans,29.9566841,-90.083638,92,64,33.94,,,,,NA,95,too far ,1270000,276000,1,South West Central
Penn State University College of Medicine,Penn State,Pennsylvania,Hershey,40.2637174,-76.6756108,86,23,77.3,,,,,8,95,too far ,14700,377700,1,Northeast Mid-Atlantic
University of Iowa College of Medicine,Iowa,Iowa ,Iowa City,41.6627121,-91.5452595,85,31,78.1,41,16,612,515,9,94,too far ,215000,259000,1,Midwest West North Central
SUNY at Buffalo School of Medicine,SUNY Buffalo,New York,Buffalo,42.900028,-78.8693377,79,31,47.1,74,90,713,510,4,94,too far ,1137000,209000,1,Northeast Mid-Atlantic
University of Cincinnati College of Medicine,Cincinnati,Ohio,Cincinnati,39.1386038,-84.5041951,87,20,50.3,43,52,715,515,9,88,too far ,2230000,229000,1,Midwest East North Central
Medical College of Georgia at Augusta University,Augusta,Georgia,Augusta,33.4707867,-81.9895899,90.6,58,35.3,82,,969,513,2,84,too far ,608000,163000,1,South Atlantic
University of Toledo College of Medicine,Toledo,Ohio,Toledo,41.6172093,-83.6175792,86,19,61.8,,93,685,510,2,84,too far ,6.00E+05,108000,1,Midwest East North Central
Mayo Medical School,Mayo,Minnesota,Rochester,44.0221375,-92.4666337,81,22,78.4,14,36,409,520,9,82,too far ,221000,319000,1,Midwest West North Central
Texas A&M University Health Sciences Center College of Medicine College ,Texas A&M,Texas,Station,30.5992685,-96.3999032,96,40,77.81,80,,663,512,NA,76,too far ,273000,309000,1,South West Central
University of Texas Medical Branch at Galveston,Texas Galveston,Texas,Galveston,29.3107692,-94.7759134,89,48,80.3,,,,,5,76,too far ,50000,363000,1,South West Central
Medical College of Georgia,Georgia,Georgia,Augusta,33.4707867,-81.9895899,90.6,58,35.3,,,,,6,75,too far ,608000,163000,1,South Atlantic
Medical College of Wisconsin,Wisconsin,Wisconsin,Milwaukee,43.0436558,-88.0215569,77,20,42,,,,,8,75,too far ,2050000,180000,1,Midwest East North Central
Tulane University School of Medicine,Tulane,Louisiana,New Orleans,29.9551861,-90.0767549,92,64,33.94,,,,,NA,73,too far ,1270000,276000,1,South West Central
University of Kentucky College of Medicine,Kentucky,Kentucky,Lexington,38.0415341,-84.4941402,86,40,74.86,64,86,778,506,6,72,too far ,322000,278000,1,South East Central
SUNY Upstate Medical University ,SUNY Upstate,New York,Syracuse ,43.0421729,-76.138973,82,32,53.4,87,,662,511,5,67,too far ,662000,139000,1,Northeast Mid-Atlantic
Wright State University School of Medicine,Wright State,Ohio ,Dayton,39.7791467,-84.0634917,87,21,54.2,,78,492,506,NA,66,too far ,814000,106000,1,Midwest East North Central
University of Nebraska College of Medicine,Nebraska,Nebraska ,Omaha,40.8172842,-96.7004551,88,32,75.5,53,7,520,512,6,63,too far ,1058000,268000,1,Midwest West North Central
Brown University School of Medicine,Brown University,Rhode Island,Providence,41.8186879,-71.408351,83,21,53.2,35,14,607,516,20,57,too far ,1600000,337000,1,Northeast New England
SUNY at Stony Brook Health Sciences Center,SUNY Stony Brook,New York,Stony Brook,40.9146884,-73.1203744,84,39,41.3,53,,545,516,9,56,too far ,19120000,759000,1,Northeast Mid-Atlantic
University of Michigan Medical School,Michigan,Michigan,Ann Arbor,42.2836966,-83.7321396,84,31,69.5,17,20,695,516,11,45,too far ,121000,471000,1,Midwest East North Central
Yale University School of Medicine,Yale,Connecticut,New Haven,41.3032539,-72.9331105,73,35,43.6,10,68,408,520,19,44,too far ,861113,265000,1,Northeast New England
University of Massachusetts Medical School,UMASS,Massachusetts,Worcester,42.2776789,-71.7608111,83,36,67.7,47,10,663,514,8,39,medium,862000,372000,1,Northeast New England
University of Medicine & Dentistry of New Jersey - Robert Wood Johnson Medical School,Rutgers,New Jersey,Piscataway,40.4946428,-74.4492378,87,39,32.7,68,,745,512,5,38,medium,61000,439000,1,Northeast Mid-Atlantic
Johns Hopkins University School of Medicine,Johns Hopkins,Maryland,Baltimore,39.2990126,-76.5927145,89,43,29.7,3,52,470,521,12,37,medium,2800000,210000,1,South Atlantic
Stanford University School of Medicine,Stanford,California,Stanford,37.4318309,-122.1757486,77,55,28,8,30,491,517,9,35,medium,15208,4047000,1,West Pacific
University of Maryland at Baltimore School of Medicine,Maryland,Maryland,Baltimore,39.2887536,-76.6256609,89,43,29.7,29,15,598,513,8,35,medium,2800000,210000,1,South Atlantic
University of Rochester School of Medicine,Rochester,New York ,Rochester,43.1234994,-77.6243443,82,32,45.4,37,26,438,516,9,35,medium,1069000,149000,1,Northeast Mid-Atlantic
McGovern Medical School at UTHealth / MD Anderson Cancer Center / University of Puerto Rico Tri-Institutional Program,Mcgovern Puerto Rico,Texas,Houston,29.7088702,-95.3953143,91,45,51.5,53,76,962,512,5,31,medium,7150000,261000,1,South West Central
University of Chicago Pritzker School of Medicine MTSP,Chicago,Illinois,Chicago,41.7919898,-87.6028007,84,35,47.7,20,30,370,521,NA,30,medium,23600,312000,1,Midwest East North Central
Hofstra North Shore - LIJ School of Medicine,Hofstra,New York,Hempstead ,40.7183421,-73.6021494,84,39,41.3,64,,394,517,NA,30,medium,19120000,759000,1,Northeast Mid-Atlantic
Baylor College of Medicine,Baylor,Texas,Houston,29.7088702,-95.3953143,91,45,51.5,22,16,721,517,11,30,medium,7150000,261000,1,South West Central
University of Miami Miller School of Medicine ,Miami,Florida,Miami,25.7903635,-80.2120132,89,70,79,43,,819,514,7,29,medium,6170000,494000,1,South Atlantic
New York Medical College ,New York,New York,Valhalla,41.0850622,-73.8100743,84,39,41.3,93,,863,514,NA,27.3,medium,19120000,759000,1,Northeast Mid-Atlantic
University of Illinois at Chicago College of Medicine,Illinois,Illinois,Chicago,41.8712895,-87.6733229,84,35,47.7,56,61,1284,513,14,25,medium,23600,312000,1,Midwest East North Central
Loyola University of chicago - Stritch School of Medicine,Loyola,Illinois,Maywood,41.860216,-87.8350177,84,35,18.23,,,,,4,25,medium,23600,234000,1,Midwest East North Central
Duke University School of Medicine,Duke,North Carolina,Durham,36.0036576,-78.936231,89,50,54,6,78,507,518,8,25,medium,644000,385000,1,South Atlantic
Northwestern University Medical School,Northwestern,Illinois,Chicago,41.8960914,-87.616922,84,35,47.7,17,43,649,520,15,24,medium,9459000,312000,1,Midwest East North Central
University of Oklahoma Health Sciences Center,Oklahoma,Oklahoma,Oklahoma City,35.4797073,-97.4999946,94,27,65.9,74,47,658,509,4,24,medium,1409000,192000,1,South West Central
Meharry Medical College School of Medicine,Meharry,Tennessee,Nashville,36.1679342,-86.8063916,90,29,65.5,,,,,NA,22.3,medium,1960000,437000,1,South East Central
Indiana University School of Medicine,Indiana,Indiana,Indianapolis,39.7816315,-86.1651452,85,34,60.9,41,23,1436,513,7,22,medium,2075000,217000,1,Midwest East North Central
University of North Carolina at Chapel Hill School of Medicine,UNC,North Carolina,Chapel Hill,35.9062145,-79.0520881,89,50,71.3,25,5,779,512,13,21,medium,61000,591000,1,South Atlantic
"University of California, San Francisco School of Medicine",Cal San Francisco,California,San Francisco,37.7627561,-122.4594562,69,50,52.8,3,2,646,516,12,20,medium,4690000,1300000,1,West Pacific
Rosalind Franklin University of Medicine and Science - Chicago Medical School,Chicago Medical,Illinois,North Chicago,42.2997587,-87.8598145,84,35,47.7,,,,,NA,20,medium,23600,312000,1,Midwest East North Central
Morehouse School of Medicine,Morehouse,Georgia,Atlanta,33.7428366,-84.4117443,88,55,40.4,,,,,NA,19,close,4600000,390000,1,South Atlantic
Wayne State University School of Medicine,Wayne State,Michigan,Detroit,42.354659,-83.0556337,83,32,14.4,68,86,1186,512,5,19,close,4392000,66000,1,Midwest East North Central
Vanderbilt University School of Medicine,Vanderbilt,Tennessee,Nashville,36.1432484,-86.8004285,90,29,65.5,13,43,409,520,16,19,close,1960000,437000,1,South East Central
"University of California, Davis School of Medicine",Cal Davis,California,Davis,38.5530095,-121.4525282,86,62,62.6,51,8,490,511,3,18,close,68640,875000,1,West Pacific
University of Louisville School of Medicine,Louisville,Kentucky,Louisville,38.2498351,-85.7475148,89,40,69.92,87,85,642,507,2,17,close,1260000,228000,1,South East Central
University of Minnesota Medical School,Minnesota,Minnesota,Minneapolis ,44.9720736,-93.2328501,82,22,63.6,43,3,1033,511,9,17,close,3650000,342000,1,Midwest West North Central
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein,New York,Bronx,40.8508611,-73.8453678,84,39,41.3,37,56,782,516,15,17,close,19120000,759000,1,Northeast Mid-Atlantic
Keck School of Medicine of the University of Southern California,USC,California,Los Angeles,34.0607106,-118.2057739,85,55,48.9,28,52,729,517,3,16,close,18700000,965000,1,West Pacific
University of Medicine & Dentistry of New Jersey - New Jersey Medical School,Rutgers 2,New Jersey,Newark,40.7404073,-74.1906912,87,39,26.8,74,,742,513,NA,16,close,282000,402000,1,Northeast Mid-Atlantic
"University of Tennessee, Memphis College of Medicine",Memphis Tennessee,Tennessee,Memphis,35.1405125,-90.0305146,92,32,27.9,68,26,696,512,NA,16,close,1342000,149000,1,South East Central
University of Alabama School of Medicine,Alabama,Alabama,Birmingham,33.499512,-86.810181,90,56,26.6,32,26,806,509,10,15,close,1115289,169900,1,South East Central
University of Kansas School of Medicine,KU,Kansas,Kansas City,39.0562041,-94.6113581,91,38,53.9,64,10,846,510,6,15,close,2170000,171000,1,Midwest West North Central
Saint Louis University School of Medicine,Saint Louis,Missouri,St. Louis,38.6221881,-90.237707,90,40,46.53,73,56,718,513,3,15,close,2800000,172000,1,Midwest West North Central
University of Colorado Health Sciences Center,Colorado,Colorado,Denver,39.7464054,-105.0022068,88,45,80.9,27,6,697,514,10,14,close,2990000,575000,1,West Mountain
Washington University School of Medicine,Washington St Louis,Missouri,St. Louis,38.634886,-90.2628788,90,40,46.53,11,56,448,521,25,14,close,2800000,172000,1,Midwest West North Central
Emory University School of Medicine,Emory,Georgia,Atlanta,33.790135,-84.3254849,88,55,40.4,22,42,593,514,12,13.6,close,4600000,390000,1,South Atlantic
Boston University School of Medicine,Boston U,Massachusetts,Boston,42.3361822,-71.0722468,82,37,52.1,32,36,647,517,NA,13,close,4870000,739000,1,Northeast New England
University of Missouri - Kansas City School of Medicine,KC Missouri,Missouri,Kansas City,39.083167,-94.5754191,89,39,60.3,85,52,513,509,NA,13,close,2170000,226000,1,Midwest West North Central
SUNY Downstate Medical Center College of Medicine,SUNY Downstate,New York,Brooklyn,40.6552617,-73.9450759,84,39,41.3,,,,,NA,12.3,close,19120000,759000,1,Northeast Mid-Atlantic
University of New Mexico School of Medicine,New Mexico,New Mexico,Albuquerque,35.0897475,-106.6111286,93,49,70.3,87,16,429,505,2,12,close,923000,304000,1,West Mountain
"University of Texas Health San Antonio, Long School of Medicine",Texas San Antonio,Texas,San Antonio,29.5074845,-98.5754534,96,40,80.34,47,36,857,518,6,12,close,2560000,293000,1,South West Central
University of Washington School of Medicine,Washington,Washington,Seattle,47.6489136,-122.3065775,72,39,65.8,9,1,1092,510,10,12,close,4010000,984000,1,West Pacific
University of South Florida College of Medicine,South Florida,Florida,Tampa,28.0649837,-82.4250332,86,70,44,46,56,726,518,NA,9.8,close,3240000,405000,1,South Atlantic
Loma Linda University School of Medicine ,Loma Linda,California,Loma Linda ,34.0504666,-117.2646764,95,62,53.6,,,,,NA,9.6,close,24935,591000,1,West Pacific
Howard University College of Medicine,Howard,DC,Washington,38.9188587,-77.0200725,79,35,46,,68,470,504,NA,9.3,close,5434000,6.00E+05,1,South Atlantic
Georgetown University School of Medicine,Georgetown,DC,Washington,38.9118112,-77.0770024,79,35,46,56,90,809,512,5,9.2,close,5434000,6.00E+05,1,South Atlantic
Ohio State University College of Medicine,Ohio State,Ohio,Columbus ,39.9939334,-83.0169184,85,20,58.64,30,32,830,515,10,9,close,2130000,237000,1,Midwest East North Central
Oregon Health Sciences University School of Medicine,Oregon,Oregon,Portland,45.4991229,-122.6859844,80,37,75.3,32,4,597,510,9,9,close,2510000,6.00E+05,1,West Pacific
"University of Texas, Southwestern Med Center",Texas Southwestern,Texas ,Dallas,32.8126824,-96.8399138,96,37,57.7,25,16,905,517,NA,8.5,close,7600000,321000,1,South West Central
University of Arizona College of Medicine,Arizona,Arizona,Tucson,32.240768,-110.944077,94,60,69.3,74,78,491,508,8,7,close,1043433,311000,1,West Mountain
University of Nevada School of Medicine,Nevada,Nevada,Reno,39.5451056,-119.8182742,93,46,72.2,,,288,507,1,6.7,close,5.00E+05,624000,1,West Mountain
Columbia University College of Physicians and Surgeons,Columbia,New York,New York,40.8415302,-73.9413824,84,39,41.3,3,75,577,521,13,6.4,close,19120000,759000,1,Northeast Mid-Atlantic
Texas Tech University School of Medicine,Texas Tech,Texas,Lubbock,33.5894581,-101.8920263,93,26,86.5,87,48,733,509,NA,6.2,close,318000,201000,1,South West Central
Drexel University College of Medicine,Drexel,Pennsylvania,Philadelphia,40.0193587,-75.1797271,89,28,44.8,85,,1095,511,3,6,close,1600000,230000,1,Northeast Mid-Atlantic
Harvard Medical School,Harvard,Massachusetts,Boston,42.3356687,-71.1042406,82,37,52.1,1,9,699,520,22,5,very close,4870000,740000,1,Northeast New England
Tufts University School of Medicine,Tufts,Massachusetts,Boston,42.3498431,-71.0614614,82,37,52.1,56,45,809,514,5,5,very close,4870000,741000,1,Northeast New England
Creighton University School of Medicine,Creighton,Nebraska ,Omaha,41.2389165,-96.0312117,88,32,75.5,,,730,513,NA,5,very close,1058000,268000,1,Midwest West North Central
University of South Carolina School of Medicine,U South Carolina,South Carolina,Columbia,33.9807215,-80.9630817,95,36,55.5,93,71,401,508,NA,4.8,very close,743000,206000,1,South Atlantic
University of Utah School of Medicine,U of U,Utah ,Salt Lake City ,40.768901,-111.8351306,90,27,72.84,35,25,489,518,18,3.9,very close,1240000,625000,1,West Mountain
Temple University School of Medicine,Temple,Pennsylvania,Philadelphia,40.0063028,-75.152221,89,28,44.8,68,88,866,511,3,3.8,very close,1600000,230000,1,Northeast Mid-Atlantic
University of Connecticut School of Medicine,U Conn,Connecticut,Farmington,41.7288071,-72.7909365,74,36,73.3,62,65,452,511,8,3.6,very close,26712,354000,1,Northeast New England
New York University School of Medicine,NYU,New York ,New York,40.7423032,-73.9743014,84,39,41.3,2,48,409,522,17,3.2,very close,19120000,759000,1,Northeast Mid-Atlantic
Mount Sinai School of Medicine,Mt Sinai,New York ,New York,40.7899333,-73.953623,84,39,41.3,11,71,531,517,12,2.5,very close,19120000,759000,1,Northeast Mid-Atlantic
University of Pennsylvania School of Medicine,Pennsylvania,Pennsylvania,Philadelphia,39.9477614,-75.1925748,89,28,44.8,6,20,626,522,25,2.2,very close,1600000,230000,1,Northeast Mid-Atlantic
"University of California, Irvine School of Medicine",Cal Irvine,California,Irvine,33.6423121,-117.851075,79,65,44.9,51,61,428,515,6,2,very close,272694,1200000,1,West Pacific
Weill Cornell / Rockefeller / Sloan-Kettering Tri-Institutional MD/PhD Program,Cornell,New York,New York,40.7648978,-73.9549405,84,39,41.3,14,45,451,519,18,2,very close,19120000,759000,1,Northeast Mid-Atlantic
"University of California, San Diego School of Medicine",Cal San Diego,California,La Jolla,32.8817088,-117.2350942,75,60,82.5,20,32,521,516,10,1.8,very close,46781,2600000,1,West Pacific
Sidney Kimmel Medical College at Thomas Jefferson University,Thomas Jefferson,Pennsylvania,Philadelphia,39.9487624,-75.1582031,89,28,44.8,56,61,1082,514,5,1.6,very close,1600000,230000,1,Northeast Mid-Atlantic
"University of California, Los Angeles School of Medicine",UCLA,California,Los Angeles,34.0661937,-118.4435224,85,55,48.9,19,13,721,512,14,1.2,very close,18700000,965000,1,West Pacific
